catalog,schema,table,column,uc_comment,uc_tags,is_primary_key,is_foreign_key,is_inferred_relationship,inferred_relationship_target,source_system
logistics,shipping,carriers,carrier_id,,,true,false,false,,logistics.shipping.carriers
logistics,shipping,carriers,carrier_name,,,false,false,false,,logistics.shipping.carriers
logistics,shipping,carriers,carrier_type,"One of: FREIGHT, PARCEL, OCEAN, RAIL",,false,false,false,,logistics.shipping.carriers
logistics,shipping,carriers,country,,,false,false,false,,logistics.shipping.carriers
logistics,shipping,shipment_items,shipment_item_id,,,true,false,false,,logistics.shipping.shipment_items
logistics,shipping,shipment_items,shipment_id,,,false,true,false,,logistics.shipping.shipment_items
logistics,shipping,shipment_items,sales_order_line_id,,,false,true,false,,logistics.shipping.shipment_items
logistics,shipping,shipment_items,quantity_shipped,,,false,false,false,,logistics.shipping.shipment_items
logistics,shipping,shipments,shipment_id,,,true,false,false,,logistics.shipping.shipments
logistics,shipping,shipments,sales_order_id,,,false,true,false,,logistics.shipping.shipments
logistics,shipping,shipments,carrier_id,,,false,true,false,,logistics.shipping.shipments
logistics,shipping,shipments,warehouse_id,,,false,true,false,,logistics.shipping.shipments
logistics,shipping,shipments,ship_date,,,false,false,false,,logistics.shipping.shipments
logistics,shipping,shipments,delivery_date,,,false,false,false,,logistics.shipping.shipments
logistics,shipping,shipments,status,,,false,false,false,,logistics.shipping.shipments
logistics,shipping,shipments,tracking_number,,,false,false,false,,logistics.shipping.shipments
logistics,shipping,warehouses,warehouse_id,,,true,false,false,,logistics.shipping.warehouses
logistics,shipping,warehouses,warehouse_name,,,false,false,false,,logistics.shipping.warehouses
logistics,shipping,warehouses,country,,,false,false,false,,logistics.shipping.warehouses
megacorp,erp,cost_centers,cost_center_id,,,true,false,false,,megacorp.erp.cost_centers
megacorp,erp,cost_centers,cost_center_name,,,false,false,false,,megacorp.erp.cost_centers
megacorp,erp,cost_centers,plant_id,,,false,true,false,,megacorp.erp.cost_centers
megacorp,erp,customers,customer_id,,,true,false,false,,megacorp.erp.customers
megacorp,erp,customers,customer_name,Customer legal/display name.,contains_pii,false,false,false,,megacorp.erp.customers
megacorp,erp,customers,industry,,,false,false,false,,megacorp.erp.customers
megacorp,erp,customers,country,,,false,false,false,,megacorp.erp.customers
megacorp,erp,customers,credit_limit,"Maximum outstanding balance approved for this customer, in USD.",sensitivity:internal,false,false,false,,megacorp.erp.customers
megacorp,erp,customers,created_at,,,false,false,false,,megacorp.erp.customers
megacorp,erp,general_ledger,gl_entry_id,,,true,false,false,,megacorp.erp.general_ledger
megacorp,erp,general_ledger,cost_center_id,,,false,true,false,,megacorp.erp.general_ledger
megacorp,erp,general_ledger,reference_invoice_id,,,false,true,false,,megacorp.erp.general_ledger
megacorp,erp,general_ledger,account_code,,,false,false,false,,megacorp.erp.general_ledger
megacorp,erp,general_ledger,debit_amount,,,false,false,false,,megacorp.erp.general_ledger
megacorp,erp,general_ledger,credit_amount,,,false,false,false,,megacorp.erp.general_ledger
megacorp,erp,general_ledger,posting_date,,,false,false,false,,megacorp.erp.general_ledger
megacorp,erp,invoice_line_items,invoice_line_item_id,,,true,false,false,,megacorp.erp.invoice_line_items
megacorp,erp,invoice_line_items,invoice_id,,,false,true,false,,megacorp.erp.invoice_line_items
megacorp,erp,invoice_line_items,description,,,false,false,false,,megacorp.erp.invoice_line_items
megacorp,erp,invoice_line_items,amount,,,false,false,false,,megacorp.erp.invoice_line_items
megacorp,erp,invoice_line_items,tax_amount,,,false,false,false,,megacorp.erp.invoice_line_items
megacorp,erp,invoices,invoice_id,,,true,false,false,,megacorp.erp.invoices
megacorp,erp,invoices,sales_order_id,,,false,true,false,,megacorp.erp.invoices
megacorp,erp,invoices,customer_id,,,false,true,false,,megacorp.erp.invoices
megacorp,erp,invoices,invoice_date,,,false,false,false,,megacorp.erp.invoices
megacorp,erp,invoices,due_date,,,false,false,false,,megacorp.erp.invoices
megacorp,erp,invoices,amount,,,false,false,false,,megacorp.erp.invoices
megacorp,erp,invoices,status,,,false,false,false,,megacorp.erp.invoices
megacorp,erp,payments,payment_id,,,true,false,false,,megacorp.erp.payments
megacorp,erp,payments,invoice_id,,,false,true,false,,megacorp.erp.payments
megacorp,erp,payments,payment_date,,,false,false,false,,megacorp.erp.payments
megacorp,erp,payments,amount,,,false,false,false,,megacorp.erp.payments
megacorp,erp,payments,payment_method,,,false,false,false,,megacorp.erp.payments
megacorp,erp,purchase_order_lines,purchase_order_line_id,,,true,false,false,,megacorp.erp.purchase_order_lines
megacorp,erp,purchase_order_lines,purchase_order_id,,,false,true,false,,megacorp.erp.purchase_order_lines
megacorp,erp,purchase_order_lines,material_id,,,false,true,false,,megacorp.erp.purchase_order_lines
megacorp,erp,purchase_order_lines,quantity,,,false,false,false,,megacorp.erp.purchase_order_lines
megacorp,erp,purchase_order_lines,unit_cost,,,false,false,false,,megacorp.erp.purchase_order_lines
megacorp,erp,purchase_orders,purchase_order_id,,,true,false,false,,megacorp.erp.purchase_orders
megacorp,erp,purchase_orders,vendor_id,,,false,true,false,,megacorp.erp.purchase_orders
megacorp,erp,purchase_orders,order_date,,,false,false,false,,megacorp.erp.purchase_orders
megacorp,erp,purchase_orders,status,,,false,false,false,,megacorp.erp.purchase_orders
megacorp,erp,purchase_orders,total_amount,,,false,false,false,,megacorp.erp.purchase_orders
megacorp,erp,sales_order_lines,sales_order_line_id,,,true,false,false,,megacorp.erp.sales_order_lines
megacorp,erp,sales_order_lines,sales_order_id,,,false,true,false,,megacorp.erp.sales_order_lines
megacorp,erp,sales_order_lines,material_id,,,false,true,false,,megacorp.erp.sales_order_lines
megacorp,erp,sales_order_lines,quantity,,,false,false,false,,megacorp.erp.sales_order_lines
megacorp,erp,sales_order_lines,unit_price,,,false,false,false,,megacorp.erp.sales_order_lines
megacorp,erp,sales_orders,sales_order_id,,,true,false,false,,megacorp.erp.sales_orders
megacorp,erp,sales_orders,customer_id,,,false,true,false,,megacorp.erp.sales_orders
megacorp,erp,sales_orders,order_date,,,false,false,false,,megacorp.erp.sales_orders
megacorp,erp,sales_orders,status,,,false,false,false,,megacorp.erp.sales_orders
megacorp,erp,sales_orders,total_amount,,,false,false,false,,megacorp.erp.sales_orders
megacorp,erp,vendors,vendor_id,,,true,false,false,,megacorp.erp.vendors
megacorp,erp,vendors,vendor_name,Vendor legal/display name.,contains_pii,false,false,false,,megacorp.erp.vendors
